epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6300.21,0.85669,0.71997,1.15536,0.95101,0.94926,0.96558,0.73532,0.91508,0.41766,1.15148,0.0005941,0.0005941,0.0005941
43,6449.48,0.85623,0.71285,1.15293,0.95227,0.95172,0.96727,0.73778,0.9114,0.41432,1.14998,0.0005842,0.0005842,0.0005842
44,6599,0.84528,0.70123,1.1496,0.94916,0.95467,0.9678,0.73879,0.91077,0.41201,1.15067,0.0005743,0.0005743,0.0005743
45,6748.59,0.84229,0.69829,1.14409,0.95334,0.95374,0.96911,0.74134,0.90664,0.41067,1.14772,0.0005644,0.0005644,0.0005644
46,6896.95,0.83633,0.69363,1.14001,0.95772,0.94926,0.96919,0.74166,0.90455,0.40695,1.14587,0.0005545,0.0005545,0.0005545
47,7046.23,0.82668,0.68344,1.1363,0.95678,0.95095,0.96951,0.74411,0.89984,0.40559,1.14161,0.0005446,0.0005446,0.0005446
48,7195.14,0.8232,0.67374,1.12947,0.95771,0.94989,0.97015,0.74502,0.89649,0.40418,1.14044,0.0005347,0.0005347,0.0005347
49,7345.22,0.82017,0.67515,1.13064,0.9597,0.94993,0.97082,0.74707,0.89514,0.4019,1.14023,0.0005248,0.0005248,0.0005248
50,7494.85,0.81634,0.66602,1.12817,0.96006,0.95144,0.97068,0.7488,0.89233,0.40049,1.13891,0.0005149,0.0005149,0.0005149
51,7644.42,0.8163,0.66563,1.1283,0.95873,0.95102,0.97128,0.74931,0.89022,0.39797,1.13679,0.000505,0.000505,0.000505
52,7794.67,0.80257,0.65378,1.1233,0.95938,0.95162,0.97162,0.75042,0.88913,0.39571,1.13647,0.0004951,0.0004951,0.0004951
53,7944.89,0.79854,0.64858,1.11909,0.95947,0.9529,0.97176,0.75084,0.88709,0.39382,1.1352,0.0004852,0.0004852,0.0004852
54,8094.98,0.7957,0.64528,1.11704,0.95893,0.95298,0.97157,0.75148,0.88511,0.39254,1.13349,0.0004753,0.0004753,0.0004753
55,8244.9,0.79225,0.63627,1.11105,0.9575,0.95365,0.97169,0.75291,0.88199,0.39169,1.13107,0.0004654,0.0004654,0.0004654
56,8395.14,0.78874,0.6342,1.1108,0.95889,0.9548,0.97216,0.75416,0.88065,0.39076,1.12998,0.0004555,0.0004555,0.0004555
57,8546.47,0.78189,0.62603,1.10934,0.9575,0.95568,0.97218,0.75532,0.87858,0.38926,1.12846,0.0004456,0.0004456,0.0004456
58,8696.2,0.77612,0.62187,1.10375,0.95826,0.95636,0.97246,0.75557,0.87699,0.38769,1.12733,0.0004357,0.0004357,0.0004357
59,8844.68,0.77564,0.61802,1.10281,0.95934,0.95399,0.97235,0.75623,0.87585,0.38632,1.1262,0.0004258,0.0004258,0.0004258
60,8993.31,0.76984,0.61275,1.09734,0.95903,0.95467,0.97251,0.75692,0.87406,0.3849,1.12477,0.0004159,0.0004159,0.0004159
61,9142.76,0.77089,0.60374,1.09724,0.9592,0.95449,0.97254,0.75804,0.87237,0.38345,1.1236,0.000406,0.000406,0.000406
62,9291.94,0.75783,0.59384,1.09247,0.95952,0.95421,0.97268,0.75887,0.87072,0.38224,1.12262,0.0003961,0.0003961,0.0003961
63,9442.21,0.7601,0.59971,1.09308,0.95801,0.95501,0.97259,0.75912,0.86912,0.38146,1.12134,0.0003862,0.0003862,0.0003862
64,9593.38,0.75227,0.59042,1.09075,0.96083,0.95431,0.97285,0.75931,0.86816,0.38024,1.1205,0.0003763,0.0003763,0.0003763
65,9743.22,0.75173,0.59012,1.08668,0.96082,0.95398,0.97259,0.75991,0.86637,0.37962,1.11921,0.0003664,0.0003664,0.0003664
66,9893.71,0.74283,0.58153,1.08395,0.96201,0.95095,0.97235,0.76046,0.86538,0.38001,1.11853,0.0003565,0.0003565,0.0003565
67,10043.8,0.74442,0.57873,1.08738,0.9621,0.95129,0.97269,0.76142,0.86392,0.3795,1.11735,0.0003466,0.0003466,0.0003466
68,10194.2,0.73217,0.57038,1.07857,0.96269,0.95156,0.97281,0.76187,0.86274,0.37929,1.11659,0.0003367,0.0003367,0.0003367
69,10342.7,0.73677,0.57398,1.07942,0.96302,0.95145,0.97286,0.76278,0.86161,0.37849,1.11588,0.0003268,0.0003268,0.0003268
70,10491.6,0.72693,0.56198,1.07242,0.9634,0.95061,0.97268,0.76335,0.86034,0.3779,1.11494,0.0003169,0.0003169,0.0003169
71,10642,0.72405,0.56274,1.07437,0.96299,0.9506,0.973,0.76395,0.85884,0.37687,1.11406,0.000307,0.000307,0.000307
72,10791.2,0.7163,0.55447,1.06488,0.96395,0.9498,0.97308,0.76406,0.85815,0.37607,1.11351,0.0002971,0.0002971,0.0002971
73,10941.4,0.713,0.55138,1.06868,0.96127,0.95264,0.97309,0.76553,0.85734,0.37544,1.11281,0.0002872,0.0002872,0.0002872
74,11091.6,0.7131,0.54858,1.06693,0.96399,0.94993,0.97331,0.76638,0.85606,0.37431,1.11187,0.0002773,0.0002773,0.0002773
75,11241.7,0.70555,0.53942,1.06145,0.96482,0.94892,0.97363,0.7666,0.85498,0.37376,1.11139,0.0002674,0.0002674,0.0002674
76,11391.6,0.70324,0.53969,1.05838,0.9641,0.95129,0.97368,0.76752,0.854,0.37335,1.11089,0.0002575,0.0002575,0.0002575
77,11541.6,0.69882,0.53546,1.05661,0.96353,0.95027,0.97366,0.76786,0.85304,0.37278,1.11004,0.0002476,0.0002476,0.0002476
78,11692.5,0.69432,0.5315,1.05516,0.96079,0.95323,0.97346,0.76821,0.8519,0.37232,1.10909,0.0002377,0.0002377,0.0002377
79,11842.6,0.69115,0.53052,1.05476,0.96149,0.95451,0.97381,0.76875,0.85082,0.37145,1.10838,0.0002278,0.0002278,0.0002278
80,11992.8,0.68113,0.51967,1.04907,0.96148,0.9543,0.97385,0.7693,0.84969,0.37089,1.10777,0.0002179,0.0002179,0.0002179
81,12142.9,0.68069,0.51545,1.04916,0.9609,0.95433,0.97375,0.76966,0.84825,0.37001,1.10704,0.000208,0.000208,0.000208
82,12292.2,0.679,0.51424,1.04759,0.9612,0.95552,0.97372,0.76984,0.84699,0.36937,1.10608,0.0001981,0.0001981,0.0001981
83,12441.1,0.67615,0.51753,1.04541,0.96111,0.95535,0.97411,0.77035,0.84556,0.36832,1.10539,0.0001882,0.0001882,0.0001882
84,12590.1,0.67196,0.50768,1.04178,0.95957,0.95542,0.97382,0.77027,0.84463,0.3676,1.10479,0.0001783,0.0001783,0.0001783
85,12740.1,0.66792,0.506,1.04038,0.96019,0.95459,0.97377,0.77077,0.84366,0.36673,1.10439,0.0001684,0.0001684,0.0001684
86,12890,0.66838,0.50425,1.03963,0.96061,0.95568,0.97407,0.77156,0.84313,0.36639,1.1044,0.0001585,0.0001585,0.0001585
87,13040.7,0.66222,0.49667,1.03663,0.96095,0.95501,0.97403,0.77171,0.84268,0.36616,1.10451,0.0001486,0.0001486,0.0001486
88,13190,0.65881,0.49304,1.03347,0.96152,0.95509,0.97406,0.77184,0.84189,0.3657,1.10397,0.0001387,0.0001387,0.0001387
89,13339.8,0.65463,0.4949,1.03261,0.96148,0.95429,0.97413,0.77244,0.84094,0.36541,1.10364,0.0001288,0.0001288,0.0001288
90,13488.5,0.64917,0.48788,1.03021,0.96085,0.95467,0.97428,0.7729,0.83969,0.36471,1.10288,0.0001189,0.0001189,0.0001189
91,13638.6,0.60661,0.38009,0.99458,0.96174,0.95252,0.9742,0.77377,0.83889,0.36401,1.10237,0.000109,0.000109,0.000109
92,13787,0.59227,0.36696,0.98372,0.96114,0.95391,0.97433,0.77398,0.83773,0.36357,1.10177,9.91e-05,9.91e-05,9.91e-05
93,13935.8,0.58187,0.35815,0.97968,0.96147,0.95397,0.97442,0.77411,0.83631,0.36357,1.10098,8.92e-05,8.92e-05,8.92e-05
94,14084.3,0.57928,0.35646,0.97863,0.96039,0.95399,0.97405,0.77495,0.83524,0.36338,1.10063,7.93e-05,7.93e-05,7.93e-05
95,14233.9,0.57056,0.35118,0.97315,0.96244,0.95351,0.97409,0.77516,0.83418,0.3632,1.10036,6.94e-05,6.94e-05,6.94e-05
96,14384.4,0.56542,0.34542,0.97112,0.96082,0.95401,0.97433,0.77561,0.83355,0.36275,1.10037,5.95e-05,5.95e-05,5.95e-05
97,14533.2,0.56807,0.34549,0.97244,0.9621,0.95336,0.97434,0.77635,0.83217,0.36265,1.09981,4.96e-05,4.96e-05,4.96e-05
98,14683.5,0.56215,0.34205,0.96872,0.95995,0.95686,0.97438,0.77712,0.83123,0.36254,1.09954,3.97e-05,3.97e-05,3.97e-05
99,14833,0.55624,0.34064,0.96738,0.95968,0.95815,0.97467,0.77789,0.83058,0.36209,1.09967,2.98e-05,2.98e-05,2.98e-05
100,14982.1,0.55278,0.33793,0.96367,0.95935,0.95815,0.97482,0.77857,0.82957,0.36158,1.09933,1.99e-05,1.99e-05,1.99e-05
